mysql> show table status;
+-------------------------+--------+---------+------------+------------+----------------+-------------+------------------+--------------+-----------+----------------+---------------------+---------------------+---------------------+-------------------+----------+----------------+-----------------------+
| Name                    | Engine | Version | Row_format | Rows       | Avg_row_length | Data_length | Max_data_length  | Index_length | Data_free | Auto_increment | Create_time         | Update_time         | Check_time          | Collation         | Checksum | Create_options | Comment               |
| wt_ftest_results        | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-13 22:52:10 | 2008-11-13 22:52:10 | 2008-11-13 22:52:11 | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_ftest_stats_samples  | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 4222124650659839 |         1024 |         0 |           NULL | 2008-11-07 14:45:57 | 2008-11-07 14:45:57 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_ftest_stats_summary  | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 5348024557502463 |         1024 |         0 |           NULL | 2008-11-07 14:45:57 | 2008-11-07 14:45:57 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_hbin                 | MyISAM |      10 | Dynamic    |     405743 |             22 |     9089076 |  281474976710655 |      1506304 |         0 |           NULL | 2008-11-12 17:55:36 | 2008-11-12 17:55:38 | 2008-11-12 17:55:38 | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_hbin_stats_samples   | MyISAM |      10 | Fixed      |     986568 |             12 |    11838816 | 3377699720527871 |      8802304 |         0 |           NULL | 2008-11-25 17:39:34 | 2008-11-25 17:39:35 | 2008-11-25 17:39:35 | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_hbin_stats_summary   | MyISAM |      10 | Fixed      |     332290 |             12 |     3987480 | 3377699720527871 |      3179520 |         0 |           NULL | 2008-11-25 17:39:51 | 2008-11-25 17:39:52 | 2008-11-25 17:39:52 | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_lot                  | MyISAM |      10 | Dynamic    |       3605 |             37 |      136180 |  281474976710655 |        15360 |         0 |           NULL | 2008-11-25 17:46:14 | 2008-11-25 17:46:14 | 2008-11-25 17:46:14 | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_lot_hbin             | MyISAM |      10 | Dynamic    |      14546 |             26 |      391636 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:56 | 2008-11-07 17:49:09 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_lot_sbin             | MyISAM |      10 | Dynamic    |      37024 |             32 |     1187928 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:56 | 2008-11-07 17:49:09 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_metadata_link        | MyISAM |      10 | Dynamic    |          1 |            112 |         672 |  281474976710655 |         1024 |       560 |           NULL | 2008-11-07 14:45:55 | 2008-11-12 18:20:39 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
